,Column1,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate
70,64#90,0.1364955,0.00516664,1.996031,0.06914979,8.944088,0.5421662,0.00521944,1.749963,16.23656
71,64#91,0.1892778,0.001956692,1.946532,0.06683466,8.526046,0.5481008,0.005095261,1.298529,15.81561
72,64#92,-0.06650978,0.001571428,1.934687,0.06646066,8.642176,0.5461996,0.004511342,1.440633,15.9215
73,64#93,-0.1353632,0.00029131,1.907332,0.06421167,8.707156,0.5420874,0.00486197,1.215623,15.93529
74,64#94,0.05690536,0.000278549,1.936665,0.06576648,8.597441,0.5440359,0.005322528,1.047676,16.24281
75,64#95,-0.2624013,-0.000269932,1.93426,0.06392946,8.777772,0.5467402,0.005791094,0.644826,14.84607
76,64#96,0.06924366,-0.000386528,1.963827,0.06570165,8.521216,0.5421166,0.005563787,-0.6881037,12.55113
77,64#97,0.1647869,0.000398431,1.911605,0.06366247,8.64216,0.5409783,0.005128198,-2.902277,10.52612
78,64#98,0.2725628,-0.00021887,1.972129,0.0635119,8.805886,0.5456557,0.004186538,-6.589497,6.360267
79,64#99,-0.4140306,-0.000558361,1.965449,0.06361217,8.821404,0.5451366,0.004777206,-6.445996,5.82366
80,64#100,-0.02444039,-0.000425138,1.899317,0.06362818,8.797623,0.5490746,0.004859542,-6.236229,6.77476
81,64#101,-0.04844678,0.000204284,1.976223,0.06197394,8.727099,0.544764,0.004746024,-6.364389,6.668474
82,64#102,0.2323895,-0.000668946,1.911019,0.06378277,8.685828,0.5443762,0.00534521,-6.353446,6.780202
83,64#103,-0.02632939,7.90458e-05,1.945456,0.06278788,8.758883,0.5429776,0.006284016,-6.415612,6.120174
84,64#104,0.258633,0.000180631,1.880164,0.06171864,8.747952,0.5425262,0.004875576,-6.550823,6.618145
85,64#105,-0.1727331,-0.000236297,1.953772,0.06181758,8.806684,0.548458,0.00547674,-6.338988,7.120018
86,64#106,0.3123417,0.000271071,1.952254,0.06242174,8.679866,0.5423405,0.005031521,-6.377481,6.362619
87,64#107,0.03825607,-0.000364781,1.908285,0.06167839,8.7098,0.5480108,0.005243544,-6.479311,6.123809
88,64#108,-0.4614244,0.000573892,1.89298,0.05988836,8.841732,0.5415878,0.004949972,-6.384606,5.933451
89,64#109,0.3897709,-8.86971e-05,1.887995,0.05634624,8.847332,0.5457183,0.005252769,-6.940235,6.048712
90,64#110,0.1277919,0.000558536,1.85266,0.05348728,8.923472,0.5441996,0.004924002,-6.855399,5.813861
91,64#111,-0.9257283,-0.000185909,1.880027,0.05219936,9.03475,0.5467458,0.004836335,-6.783473,6.445226
92,64#112,-0.2462397,0.000164393,1.764702,0.03216761,8.884524,0.5466267,0.00567806,-8.232889,4.525616
93,64#113,-0.03548134,0.000793386,1.689544,0.02082059,9.011736,0.5466216,0.005229766,-8.93474,3.545804
94,64#114,0.3356581,-0.000725463,1.624903,0.01556493,9.058975,0.5438535,0.007842805,-9.717391,2.239758
95,64#115,0.1683595,0.000514052,1.531575,0.01260226,8.908081,0.5447876,0.006773015,-9.687041,1.610424
96,64#116,-0.01554014,-0.000602892,1.458128,0.007959048,8.897686,0.5434121,0.006858283,-9.972279,1.590217
97,64#117,0.6560364,-0.000940674,1.428059,0.008503073,9.148108,0.5440641,0.007482975,-9.95205,1.198656
98,64#118,-0.03320051,0.000431005,1.380155,0.006244035,9.237306,0.544177,0.007319245,-10.10465,1.013065
99,64#119,0.2671949,-0.000134542,1.273162,0.004114997,9.183939,0.5413722,0.008705721,-10.00253,0.6532171
100,64#120,-0.3782959,-0.00024418,1.160576,0.003587943,9.591657,0.542463,0.008981418,-9.685484,0.8438092
101,64#121,-0.2352025,1.94806e-05,1.102933,0.003720569,9.57497,0.542172,0.009427847,-9.11019,0.8391622
102,64#122,-0.3380808,0.000920528,0.988025,0.00340613,9.486744,0.5423185,0.009904947,-8.604618,0.2232015
103,64#123,-0.6531773,0.000266572,0.9066367,0.003647474,9.804016,0.5440343,0.01013173,-8.074215,0.4840547
104,64#124,-0.3993475,-0.000628511,0.7813857,0.004942035,9.511703,0.5482778,0.01070374,-7.347981,0.4468878
105,64#125,-0.1782662,-0.000644525,0.7591136,0.002027827,10.06846,0.5407254,0.01182181,-6.546764,1.327348
106,64#126,-0.02848005,-0.000540137,0.6312637,0.005358915,9.975,0.5349836,0.01093785,-5.747953,0.5817384
107,64#127,0.1717517,0.000661335,0.5964326,0.005838687,10.05371,0.5394615,0.01257966,-5.203557,1.570921
108,64#128,-0.09620953,-0.000418519,0.3749388,0.007815029,10.05428,0.5356999,0.01447255,-2.785074,1.750115
109,64#129,-0.6171288,-0.000286127,0.2373942,0.00572357,10.27418,0.5399126,0.0157374,-0.8462736,1.03614
110,64#130,-0.0839035,3.28365e-05,0.1982068,0.008096366,10.50612,0.5366352,0.01861078,0.6981518,1.091788
111,64#131,0.7884144,3.20635e-05,0.1531096,0.009404941,10.49576,0.5316272,0.0195962,1.586013,1.959642
112,64#132,-0.08629001,0.000272474,0.1435179,0.01082986,10.49548,0.533846,0.02110963,2.081649,1.802138
113,64#133,-0.04520136,-0.000135681,0.111426,0.01004046,10.06811,0.531413,0.02426005,2.668674,2.584062
114,64#134,-0.5467781,-5.68935e-05,0.07324813,0.01348963,10.27488,0.5326759,0.02528081,3.372176,2.05738
115,64#135,-0.2248579,-0.000113987,0.09069079,0.01260931,10.2405,0.5283535,0.02822155,3.466321,2.001771
116,64#136,-0.543973,-0.000558508,0.0992318,0.01538787,10.21343,0.5285995,0.03105173,3.821328,2.094994
117,64#137,-0.5866444,-0.000847191,0.09750812,0.01717812,10.25962,0.5266595,0.03297786,4.157896,2.699872
118,64#138,-0.02469346,0.00086608,0.07182792,0.01958453,10.27712,0.520717,0.03483064,4.602728,2.855083
119,64#139,0.1108414,5.16734e-05,0.0770566,0.02067123,10.27175,0.5218907,0.04018279,5.061975,3.187879
120,64#140,-0.2335907,-0.000152575,0.06347132,0.02732212,9.974305,0.5213845,0.04516811,5.9142,3.453487
121,64#141,-0.0275691,0.000873559,0.08464595,0.03069546,9.742817,0.5275755,0.05068091,6.867689,3.958465
122,64#142,-0.7760233,6.90019e-05,0.1121908,0.03440379,9.733276,0.5263003,0.0559711,7.022928,4.652408
123,64#143,0.06822184,0.000339786,0.03651365,0.03860012,9.616028,0.5317217,0.05972491,7.820741,4.514192
124,64#144,0.08963989,8.28042e-05,0.01843146,0.04356321,9.184447,0.5390312,0.06873942,9.21149,5.2327
125,64#145,-0.03378979,0.000695154,0.02464528,0.05491282,8.532676,0.5391182,0.07665101,10.39652,5.648932
126,64#146,-0.2332786,0.00014356,0.03320492,0.06167778,8.22679,0.5531031,0.0824462,11.14996,6.423551
127,64#147,-0.4526558,5.3747e-05,0.02990286,0.06896857,7.085281,0.5637326,0.08688105,12.12856,6.252739
128,64#148,-0.4067821,0.000204326,0.03146679,0.07076461,6.339773,0.5843332,0.09053746,12.93266,7.518452
129,64#149,-0.2743812,0.000464053,0.001249018,0.07415579,6.061833,0.5862842,0.09227441,13.13524,8.038356
130,64#150,0.2280563,-0.000477327,-0.03137866,0.07299197,5.602858,0.5868175,0.09290387,13.48795,7.856369
131,64#151,-0.655942,4.53035e-05,0.01174753,0.07678989,5.576027,0.5970325,0.09253414,13.38308,7.818469
132,64#152,0.2918466,-0.000265234,0.006167264,0.07594142,5.011423,0.5937847,0.09361602,13.98617,7.810607
133,64#153,-0.3096506,0.000994407,0.003070032,0.07639472,4.740458,0.603896,0.09343943,13.92415,7.756333
134,64#154,-0.2401311,0.000414644,0.008003186,0.07809028,4.11729,0.6138015,0.09441097,13.89584,8.048133
135,64#155,0.6038604,-0.000526961,0.03839299,0.07581001,3.644406,0.6259674,0.09387205,14.02802,8.40223
136,64#156,-0.4453065,0.000725958,-0.05973092,0.07287695,3.087572,0.6220304,0.09454527,14.21859,8.007306
137,64#157,-0.5660374,-0.000463807,-0.008439824,0.07507998,2.927489,0.6275348,0.09393728,14.20509,7.819784
138,64#158,-0.0844214,0.000383871,0.04582207,0.07197919,2.81076,0.6257827,0.09383258,14.09028,7.941526
139,64#159,-0.1218044,-0.000331826,0.01087972,0.07069606,2.960439,0.6289588,0.0928022,14.28979,9.017444
140,64#160,0.05234424,0.00114549,0.003764034,0.07371931,2.878379,0.6286629,0.09291051,14.23744,8.065367
141,64#161,0.05316912,0.000125746,0.01238124,0.07443424,2.793554,0.6323067,0.09257101,14.14306,7.711849
142,64#162,-0.1389852,0.000355588,0.001887118,0.068175,2.56513,0.6344151,0.09285039,13.88657,8.526799
143,64#163,-0.4817813,-0.000340616,0.06362683,0.0700216,2.484023,0.6350697,0.09259206,13.85372,8.286597
144,64#164,-0.0854546,0.000523105,0.009614858,0.06887247,2.156818,0.6409737,0.0915012,13.85962,7.719346
145,64#165,-0.1785719,-0.000751106,-0.01859603,0.06417637,1.853616,0.6439303,0.0915683,13.70073,7.920368
146,64#166,0.1446196,3.31093e-05,0.008290115,0.06611727,1.866142,0.6461973,0.09081373,13.46185,8.128882
147,64#167,0.1584762,-0.000156177,0.01208402,0.06605509,1.719176,0.6454529,0.09046679,13.5607,7.451713
148,64#168,-0.5332963,4.55908e-05,0.02072623,0.06417323,1.657108,0.6446915,0.09090289,13.66023,8.540364
149,64#169,0.04772435,-0.000194476,-0.02086307,0.06547339,1.796906,0.648156,0.09076678,13.53932,7.859269
150,64#170,-0.3886768,0.000116257,0.01439819,0.06525522,1.867427,0.6476831,0.08961128,13.45414,6.56748
151,64#171,0.7231734,0.000703814,0.006724875,0.06479121,1.631312,0.6561387,0.09028035,13.27461,7.948433
152,64#172,-0.4235928,-0.000725784,0.0480811,0.06227928,1.406099,0.6496884,0.0892659,13.4731,7.885453
153,64#173,0.2015543,-0.000106038,0.05072796,0.06264529,1.424503,0.6518094,0.09073899,13.22325,7.556987
154,64#174,0.4442165,-0.000169267,0.001620776,0.06024327,1.448678,0.6540401,0.09083749,13.05064,7.92223
155,64#175,0.3356358,-0.000346457,-0.007170402,0.06050187,1.36947,0.6489577,0.0902188,13.03876,7.40278
156,64#176,0.3774435,0.000361325,-0.01493054,0.05962798,1.206209,0.6515317,0.08925758,12.9487,7.365164
157,64#177,-0.1118344,-0.000743807,0.0119264,0.0551726,1.111915,0.6573761,0.08948509,12.69273,6.928915
158,64#178,0.8015056,0.000143354,-0.01015173,0.05379771,1.056949,0.653346,0.08878145,12.75517,7.695978
159,64#179,0.1593969,-0.000107526,-0.02384967,0.05426654,1.299317,0.6581168,0.08893048,12.24133,7.257506
160,64#180,0.1511191,-0.000273108,0.01245753,0.04810462,0.6997829,0.663525,0.087781,11.44553,6.687965
161,64#181,-0.02524482,-0.00012187,-0.008185332,0.04338522,0.8507161,0.6657215,0.08731524,10.54817,6.287903
162,64#182,0.1056432,0.000287183,-0.02481122,0.03882436,0.6036345,0.6638534,0.08746065,10.75018,6.289155
163,64#183,-0.5479912,-0.000288259,0.01534309,0.04212944,0.7261769,0.6607473,0.08685947,10.45402,6.048239
164,64#184,0.3584878,0.000246378,0.01567571,0.04132583,0.6119943,0.6630456,0.08794252,9.987347,5.255748
165,64#185,-0.07880152,-0.000260003,-0.01730578,0.03884213,0.5241097,0.6602952,0.08802878,9.958606,6.159943
166,64#186,-0.4248553,-0.000496908,-0.01108296,0.03800313,0.4685722,0.6633494,0.08715623,9.44492,5.531342
167,64#187,0.06919991,0.001000907,-0.006186682,0.03392024,0.5912727,0.6667904,0.08722955,8.998175,5.320967
168,64#188,-0.2514664,0.00012946,-0.006761535,0.03081162,0.374503,0.6680071,0.08697148,8.107038,4.24614
169,64#189,-0.06922955,0.000589676,-0.007626022,0.02567335,0.3866701,0.6636366,0.08615269,7.473472,5.014534
170,64#190,-0.01915399,-0.000502308,0.01064872,0.02664159,0.3902409,0.6636077,0.0862675,6.940103,4.886799
171,64#191,-0.3154399,0.001123887,0.0169401,0.02566654,0.1505952,0.6690736,0.08602498,6.710309,4.228627
172,64#192,0.6541502,-0.000534391,-0.01485137,0.02210783,0.1901584,0.6684515,0.08632873,6.668993,3.356241
173,64#193,-0.3690667,-0.000720959,0.01055276,0.0217006,0.3430615,0.6641937,0.08637986,5.899267,3.894321
174,64#194,0.04919419,0.000348593,-0.002566358,0.01973408,0.2834872,0.6698971,0.08560444,5.34254,3.908314
175,64#195,-0.5796833,0.000167114,0.02235399,0.01523123,0.2059163,0.6616253,0.08522847,4.951632,2.929728
176,64#196,0.1424107,0.000212357,-0.02279081,0.01157009,0.1780396,0.6722797,0.08462018,3.504618,1.700282
177,64#197,-0.1783797,0.00023054,-0.007609603,0.005481858,-0.06628755,0.6714549,0.0847393,2.292246,1.476665
178,64#198,-0.3349153,0.000449861,0.005693561,0.002936252,0.2784731,0.6743287,0.08475041,1.660763,0.3985908
179,64#199,0.325543,0.000779893,0.02761867,0.002535519,0.01381469,0.6674132,0.08372637,1.077636,0.5156923
180,64#200,-0.1937247,0.000294795,0.006774469,0.001224364,0.1118889,0.6714339,0.08350927,0.5535473,0.3227558
181,64#201,0.05259525,0.000369888,0.03781843,0.0023949,-0.104446,0.6725677,0.08331107,0.03692757,-0.1905157
182,64#202,-1.017384,-0.0005783,0.02515402,-0.000132107,0.07544694,0.6751899,0.08397739,0.2525339,-0.3615234
183,64#203,-0.118573,0.00016677,-0.02264048,-0.000442339,-0.1045227,0.6762339,0.08416808,0.2763717,-0.04095342
184,64#204,0.07399742,0.000362473,-0.04089555,0.000154313,-0.02057094,0.6692464,0.08315465,0.2257592,-0.4037957
185,64#205,0.2146952,0.000138256,0.03307957,-0.000895546,-0.2298483,0.6672145,0.08300664,0.05673955,-0.2709467
186,64#206,0.0841051,-0.000260141,-0.03387164,0.000385175,0.2096948,0.6701072,0.08444141,0.2695112,0.01481047
187,64#207,-0.4573784,-5.16208e-05,-0.00187041,-0.001857921,0.1392679,0.6682287,0.08266781,0.08376393,0.02250729
188,64#208,-0.5065476,-0.000231604,0.03382781,0.001482364,-0.1002463,0.6676059,0.08426347,-0.02937092,0.1651371
189,64#209,0.1937523,1.22228e-05,0.02830225,-0.000165925,0.1646297,0.6672146,0.08334693,-0.1053761,-0.3842446
